#    L    TT             EE             BB             TE          
   126   0.356289E+04   0.107493E+01   0.516822E-02  -0.390356E+02
   127   0.359744E+04   0.108148E+01   0.525404E-02  -0.395282E+02
   128   0.363201E+04   0.108756E+01   0.534073E-02  -0.400069E+02
   129   0.366660E+04   0.109319E+01   0.542829E-02  -0.404714E+02
   130   0.370120E+04   0.109835E+01   0.551672E-02  -0.409210E+02
   131   0.373580E+04   0.110303E+01   0.560604E-02  -0.413552E+02
   132   0.377040E+04   0.110723E+01   0.569625E-02  -0.417735E+02
   133   0.380498E+04   0.111095E+01   0.578736E-02  -0.421755E+02
   134   0.383955E+04   0.111420E+01   0.587937E-02  -0.425607E+02
   135   0.387408E+04   0.111695E+01   0.597228E-02  -0.429286E+02
   136   0.390857E+04   0.111921E+01   0.606611E-02  -0.432787E+02
   137   0.394303E+04   0.112098E+01   0.616086E-02  -0.436105E+02
   138   0.397742E+04   0.112227E+01   0.625654E-02  -0.439237E+02
   139   0.401175E+04   0.112305E+01   0.635314E-02  -0.442177E+02
   140   0.404602E+04   0.112335E+01   0.645069E-02  -0.444922E+02
   141   0.408021E+04   0.112316E+01   0.654917E-02  -0.447468E+02
   142   0.411431E+04   0.112248E+01   0.664861E-02  -0.449810E+02
   143   0.414832E+04   0.112131E+01   0.674899E-02  -0.451944E+02
   144   0.418222E+04   0.111967E+01   0.685033E-02  -0.453867E+02
   145   0.421601E+04   0.111754E+01   0.695264E-02  -0.455573E+02
   146   0.424966E+04   0.111493E+01   0.705591E-02  -0.457060E+02
   147   0.428317E+04   0.111187E+01   0.716016E-02  -0.458323E+02
   148   0.431651E+04   0.110834E+01   0.726538E-02  -0.459358E+02
   149   0.434968E+04   0.110435E+01   0.737158E-02  -0.460160E+02
   150   0.438266E+04   0.109992E+01   0.747877E-02  -0.460727E+02
   151   0.441543E+04   0.109504E+01   0.758694E-02  -0.461053E+02
   152   0.444800E+04   0.108974E+01   0.769611E-02  -0.461138E+02
   153   0.448034E+04   0.108401E+01   0.780627E-02  -0.460977E+02
   154   0.451247E+04   0.107788E+01   0.791743E-02  -0.460569E+02
   155   0.454437E+04   0.107135E+01   0.802959E-02  -0.459911E+02
   156   0.457605E+04   0.106444E+01   0.814276E-02  -0.459001E+02
   157   0.460748E+04   0.105714E+01   0.825693E-02  -0.457835E+02
   158   0.463868E+04   0.104950E+01   0.837211E-02  -0.456413E+02
   159   0.466963E+04   0.104150E+01   0.848830E-02  -0.454731E+02
   160   0.470032E+04   0.103318E+01   0.860551E-02  -0.452788E+02
   161   0.473072E+04   0.102454E+01   0.872372E-02  -0.450581E+02
   162   0.476083E+04   0.101561E+01   0.884296E-02  -0.448110E+02
   163   0.479065E+04   0.100640E+01   0.896321E-02  -0.445370E+02
   164   0.482014E+04   0.996927E+00   0.908447E-02  -0.442362E+02
   165   0.484932E+04   0.987208E+00   0.920675E-02  -0.439083E+02
   166   0.487815E+04   0.977264E+00   0.933005E-02  -0.435532E+02
   167   0.490664E+04   0.967119E+00   0.945437E-02  -0.431707E+02
   168   0.493478E+04   0.956794E+00   0.957970E-02  -0.427610E+02
   169   0.496256E+04   0.946312E+00   0.970604E-02  -0.423238E+02
   170   0.498997E+04   0.935689E+00   0.983340E-02  -0.418592E+02
   171   0.501699E+04   0.924952E+00   0.996177E-02  -0.413670E+02
   172   0.504364E+04   0.914126E+00   0.100912E-01  -0.408472E+02
   173   0.506989E+04   0.903232E+00   0.102215E-01  -0.402998E+02
   174   0.509573E+04   0.892293E+00   0.103529E-01  -0.397247E+02
   175   0.512117E+04   0.881345E+00   0.104853E-01  -0.391222E+02
   176   0.514618E+04   0.870404E+00   0.106187E-01  -0.384921E+02
   177   0.517076E+04   0.859507E+00   0.107531E-01  -0.378345E+02
   178   0.519489E+04   0.848676E+00   0.108885E-01  -0.371494E+02
   179   0.521858E+04   0.837933E+00   0.110249E-01  -0.364368E+02
   180   0.524182E+04   0.827315E+00   0.111622E-01  -0.356969E+02
   181   0.526460E+04   0.816853E+00   0.113006E-01  -0.349299E+02
   182   0.528691E+04   0.806575E+00   0.114399E-01  -0.341358E+02
   183   0.530874E+04   0.796505E+00   0.115801E-01  -0.333147E+02
   184   0.533009E+04   0.786679E+00   0.117214E-01  -0.324670E+02
   185   0.535096E+04   0.777134E+00   0.118636E-01  -0.315925E+02
   186   0.537132E+04   0.767892E+00   0.120067E-01  -0.306916E+02
   187   0.539118E+04   0.758985E+00   0.121508E-01  -0.297644E+02
