#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.713065E-05   0.197876E+08   0.197876E+08   0.263771E+08   0.263770E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.351363E+01
   0.731108E-05   0.197876E+08   0.197876E+08   0.263768E+08   0.263767E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.360253E+01
   0.749607E-05   0.197876E+08   0.197876E+08   0.263765E+08   0.263763E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.369367E+01
   0.768575E-05   0.197876E+08   0.197876E+08   0.263761E+08   0.263759E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.378712E+01
   0.788023E-05   0.197876E+08   0.197876E+08   0.263757E+08   0.263755E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.388293E+01
   0.807963E-05   0.197876E+08   0.197876E+08   0.263753E+08   0.263751E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.398116E+01
   0.828407E-05   0.197876E+08   0.197876E+08   0.263749E+08   0.263747E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.408188E+01
   0.849369E-05   0.197876E+08   0.197876E+08   0.263745E+08   0.263743E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.418515E+01
   0.870861E-05   0.197876E+08   0.197876E+08   0.263740E+08   0.263738E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.429103E+01
   0.892897E-05   0.197876E+08   0.197876E+08   0.263735E+08   0.263733E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.439958E+01
   0.915490E-05   0.197876E+08   0.197876E+08   0.263730E+08   0.263728E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.451088E+01
   0.938655E-05   0.197876E+08   0.197876E+08   0.263724E+08   0.263722E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.462499E+01
   0.962407E-05   0.197876E+08   0.197876E+08   0.263719E+08   0.263716E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.474199E+01
   0.986759E-05   0.197876E+08   0.197876E+08   0.263713E+08   0.263710E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.486195E+01
   0.101173E-04   0.197876E+08   0.197876E+08   0.263707E+08   0.263704E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.498494E+01
   0.103733E-04   0.197876E+08   0.197876E+08   0.263700E+08   0.263697E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.511104E+01
   0.106358E-04   0.197876E+08   0.197876E+08   0.263693E+08   0.263690E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.524033E+01
   0.109049E-04   0.197876E+08   0.197876E+08   0.263686E+08   0.263683E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.537288E+01
   0.111808E-04   0.197876E+08   0.197876E+08   0.263678E+08   0.263675E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.550879E+01
   0.114637E-04   0.197876E+08   0.197876E+08   0.263670E+08   0.263666E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.564813E+01
   0.117538E-04   0.197876E+08   0.197876E+08   0.263662E+08   0.263658E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.579100E+01
   0.120512E-04   0.197876E+08   0.197876E+08   0.263653E+08   0.263649E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.593747E+01
   0.123562E-04   0.197876E+08   0.197876E+08   0.263643E+08   0.263639E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.608765E+01
   0.126688E-04   0.197876E+08   0.197876E+08   0.263633E+08   0.263629E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.624162E+01
   0.129894E-04   0.197876E+08   0.197876E+08   0.263623E+08   0.263619E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.639948E+01
   0.133181E-04   0.197876E+08   0.197876E+08   0.263612E+08   0.263607E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.656133E+01
   0.136550E-04   0.197876E+08   0.197876E+08   0.263601E+08   0.263596E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.672727E+01
   0.140006E-04   0.197876E+08   0.197876E+08   0.263589E+08   0.263584E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.689740E+01
   0.143548E-04   0.197876E+08   0.197876E+08   0.263576E+08   0.263571E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.707184E+01
   0.147181E-04   0.197876E+08   0.197876E+08   0.263563E+08   0.263557E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.725067E+01
   0.150905E-04   0.197876E+08   0.197876E+08   0.263549E+08   0.263543E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.743402E+01
   0.154723E-04   0.197876E+08   0.197876E+08   0.263534E+08   0.263528E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.762201E+01
   0.158638E-04   0.197876E+08   0.197876E+08   0.263519E+08   0.263512E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.781474E+01
   0.162652E-04   0.197876E+08   0.197876E+08   0.263503E+08   0.263496E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.801234E+01
