#    L    TT             EE             TE             PP             TP          
   165   0.485010E+04   0.978117E+00  -0.440897E+02   0.318330E+07   0.327910E+04
   166   0.487906E+04   0.967938E+00  -0.437371E+02   0.316600E+07   0.325173E+04
   167   0.490767E+04   0.957551E+00  -0.433571E+02   0.314883E+07   0.322466E+04
   168   0.493594E+04   0.946979E+00  -0.429497E+02   0.313181E+07   0.319788E+04
   169   0.496384E+04   0.936243E+00  -0.425149E+02   0.311492E+07   0.317140E+04
   170   0.499138E+04   0.925359E+00  -0.420524E+02   0.309817E+07   0.314520E+04
   171   0.501854E+04   0.914356E+00  -0.415624E+02   0.308156E+07   0.311927E+04
   172   0.504532E+04   0.903256E+00  -0.410446E+02   0.306508E+07   0.309362E+04
   173   0.507171E+04   0.892082E+00  -0.404991E+02   0.304873E+07   0.306823E+04
   174   0.509769E+04   0.880855E+00  -0.399259E+02   0.303252E+07   0.304310E+04
   175   0.512326E+04   0.869614E+00  -0.393251E+02   0.301644E+07   0.301823E+04
   176   0.514841E+04   0.858373E+00  -0.386967E+02   0.300048E+07   0.299360E+04
   177   0.517313E+04   0.847168E+00  -0.380405E+02   0.298466E+07   0.296921E+04
   178   0.519741E+04   0.836023E+00  -0.373568E+02   0.296896E+07   0.294506E+04
   179   0.522125E+04   0.824960E+00  -0.366455E+02   0.295339E+07   0.292115E+04
   180   0.524463E+04   0.814015E+00  -0.359068E+02   0.293795E+07   0.289747E+04
   181   0.526756E+04   0.803219E+00  -0.351408E+02   0.292263E+07   0.287402E+04
   182   0.529001E+04   0.792601E+00  -0.343475E+02   0.290744E+07   0.285079E+04
   183   0.531200E+04   0.782183E+00  -0.335273E+02   0.289236E+07   0.282779E+04
   184   0.533350E+04   0.772003E+00  -0.326801E+02   0.287741E+07   0.280500E+04
   185   0.535451E+04   0.762098E+00  -0.318061E+02   0.286258E+07   0.278243E+04
   186   0.537503E+04   0.752490E+00  -0.309056E+02   0.284786E+07   0.276008E+04
   187   0.539505E+04   0.743209E+00  -0.299785E+02   0.283327E+07   0.273793E+04
   188   0.541455E+04   0.734296E+00  -0.290254E+02   0.281879E+07   0.271598E+04
   189   0.543354E+04   0.725782E+00  -0.280462E+02   0.280443E+07   0.269424E+04
   190   0.545201E+04   0.717701E+00  -0.270413E+02   0.279018E+07   0.267270E+04
   191   0.546995E+04   0.710085E+00  -0.260110E+02   0.277605E+07   0.265135E+04
   192   0.548734E+04   0.702969E+00  -0.249554E+02   0.276202E+07   0.263019E+04
   193   0.550419E+04   0.696386E+00  -0.238747E+02   0.274811E+07   0.260922E+04
   194   0.552049E+04   0.690372E+00  -0.227695E+02   0.273431E+07   0.258843E+04
   195   0.553624E+04   0.684962E+00  -0.216398E+02   0.272062E+07   0.256782E+04
   196   0.555143E+04   0.680193E+00  -0.204863E+02   0.270704E+07   0.254740E+04
   197   0.556607E+04   0.676102E+00  -0.193092E+02   0.269356E+07   0.252714E+04
   198   0.558015E+04   0.672723E+00  -0.181088E+02   0.268019E+07   0.250706E+04
   199   0.559366E+04   0.670093E+00  -0.168855E+02   0.266692E+07   0.248714E+04
   200   0.560660E+04   0.668248E+00  -0.156398E+02   0.265376E+07   0.246739E+04
   201   0.561896E+04   0.667225E+00  -0.143718E+02   0.264070E+07   0.244780E+04
   202   0.563074E+04   0.667060E+00  -0.130823E+02   0.262774E+07   0.242837E+04
   203   0.564192E+04   0.667790E+00  -0.117714E+02   0.261488E+07   0.240909E+04
   204   0.565249E+04   0.669451E+00  -0.104396E+02   0.260213E+07   0.238997E+04
   205   0.566244E+04   0.672082E+00  -0.908740E+01   0.258947E+07   0.237101E+04
   206   0.567176E+04   0.675716E+00  -0.771517E+01   0.257691E+07   0.235220E+04
   207   0.568045E+04   0.680393E+00  -0.632327E+01   0.256444E+07   0.233354E+04
   208   0.568849E+04   0.686149E+00  -0.491230E+01   0.255208E+07   0.231503E+04
   209   0.569592E+04   0.693019E+00  -0.348281E+01   0.253981E+07   0.229667E+04
   210   0.570272E+04   0.701041E+00  -0.203533E+01   0.252763E+07   0.227845E+04
   211   0.570890E+04   0.710253E+00  -0.570436E+00   0.251555E+07   0.226039E+04
   212   0.571447E+04   0.720689E+00   0.911328E+00   0.250356E+07   0.224246E+04
   213   0.571944E+04   0.732387E+00   0.240941E+01   0.249167E+07   0.222468E+04
   214   0.572380E+04   0.745384E+00   0.392324E+01   0.247987E+07   0.220704E+04
   215   0.572756E+04   0.759711E+00   0.545224E+01   0.246815E+07   0.218955E+04
   216   0.573071E+04   0.775412E+00   0.699582E+01   0.245653E+07   0.217219E+04
   217   0.573325E+04   0.792518E+00   0.855337E+01   0.244500E+07   0.215496E+04
   218   0.573517E+04   0.811057E+00   0.101244E+02   0.243355E+07   0.213788E+04
   219   0.573646E+04   0.831075E+00   0.117081E+02   0.242219E+07   0.212092E+04
   220   0.573713E+04   0.852600E+00   0.133042E+02   0.241092E+07   0.210410E+04
   221   0.573717E+04   0.875664E+00   0.149117E+02   0.239974E+07   0.208742E+04
   222   0.573658E+04   0.900311E+00   0.165303E+02   0.238863E+07   0.207086E+04
   223   0.573535E+04   0.926562E+00   0.181591E+02   0.237762E+07   0.205443E+04
   224   0.573351E+04   0.954455E+00   0.197977E+02   0.236669E+07   0.203812E+04
   225   0.573104E+04   0.984012E+00   0.214452E+02   0.235583E+07   0.202195E+04
   226   0.572794E+04   0.101528E+01   0.231011E+02   0.234507E+07   0.200589E+04
   227   0.572421E+04   0.104828E+01   0.247647E+02   0.233438E+07   0.198996E+04
   228   0.571986E+04   0.108305E+01   0.264352E+02   0.232377E+07   0.197415E+04
   229   0.571490E+04   0.111961E+01   0.281121E+02   0.231324E+07   0.195846E+04
   230   0.570931E+04   0.115800E+01   0.297946E+02   0.230279E+07   0.194289E+04
   231   0.570311E+04   0.119824E+01   0.314820E+02   0.229242E+07   0.192744E+04
   232   0.569630E+04   0.124035E+01   0.331736E+02   0.228212E+07   0.191210E+04
   233   0.568887E+04   0.128438E+01   0.348688E+02   0.227190E+07   0.189687E+04
   234   0.568083E+04   0.133033E+01   0.365667E+02   0.226175E+07   0.188176E+04
   235   0.567218E+04   0.137825E+01   0.382667E+02   0.225168E+07   0.186676E+04
   236   0.566292E+04   0.142816E+01   0.399681E+02   0.224168E+07   0.185187E+04
   237   0.565307E+04   0.148006E+01   0.416701E+02   0.223175E+07   0.183708E+04
   238   0.564261E+04   0.153400E+01   0.433721E+02   0.222190E+07   0.182241E+04
   239   0.563156E+04   0.158998E+01   0.450732E+02   0.221212E+07   0.180784E+04
   240   0.561991E+04   0.164804E+01   0.467727E+02   0.220240E+07   0.179337E+04
   241   0.560767E+04   0.170819E+01   0.484699E+02   0.219276E+07   0.177900E+04
   242   0.559485E+04   0.177045E+01   0.501640E+02   0.218318E+07   0.176474E+04
   243   0.558145E+04   0.183485E+01   0.518543E+02   0.217367E+07   0.175058E+04
   244   0.556747E+04   0.190140E+01   0.535401E+02   0.216423E+07   0.173651E+04
